Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
7bfa80c7-55f7-4e8f-9be9-304f30ec45a3,1993-08-20,,999-64-8690,S99967030,X75635514X,Mr.,Mateo562,Montaño969,,,,black,hispanic,M,San Jose  San Jose  CR,849 Deckow Ville,Fremont,California,Alameda County,94555,37.46621889846004,-121.94352377686555,556347.6699999999,4741.75
fd19fd7e-5c6f-4747-a40a-d1a00dc10402,1991-09-26,,999-49-5721,S99967303,X62865554X,Mrs.,Patricia625,Ceja441,,Ornelas92,M,white,hispanic,F,Bogota  Bogota  CO,955 Johnston Manor,Pasadena,California,Los Angeles County,91106,34.086212184722626,-118.14549842952918,677917.1,4779.2
57772912-d622-4cfa-bb52-00647adfdac6,1989-06-11,,999-90-2116,S99910339,X40216194X,Mr.,Jan231,Bernier607,,,M,white,nonhispanic,M,Hayward  California  US,594 Rogahn Gardens Suite 29,Los Angeles,California,Los Angeles County,91411,34.286238526632644,-118.35311570287023,676258.66,8861.48
80e15f22-b3e7-4320-9637-389d41766559,1990-03-20,,999-84-7094,S99954127,X5036480X,Mrs.,Estell607,Weissnat378,,Dach178,M,white,hispanic,F,Visalia  California  US,207 Langosh Light Unit 51,Palm Springs,California,Riverside County,92241,33.812674690281554,-116.60577269664077,654185.47,10969.91
8373a9d0-52cb-467f-9baa-252c56712559,1965-09-29,2002-09-24,999-95-8909,S99945390,X71176767X,Mr.,Sylvester827,Sauer652,,,M,white,hispanic,M,Palo Alto  California  US,962 Welch Estate,San Diego,California,San Diego County,,32.784430524166176,-117.16757393588493,125352.02,28210.879999999997
549ebbf4-3de3-4164-aa60-82cd31ac1d8b,1968-02-02,,999-47-1869,S99982977,X35964019X,Mr.,Jerrell6,Schroeder447,,,M,white,hispanic,M,Los Angeles  California  US,750 Monahan Extension,Norco,California,Riverside County,92879,33.944322306762615,-117.52051024730302,1262402.5,6179.5
4af9ec9f-b1da-4ed5-bbbe-672e3943cf08,1998-05-27,,999-15-6375,S99934782,X85839056X,Ms.,Danika134,Walsh511,,,,white,nonhispanic,F,Yorba Linda  California  US,985 Kuhic Divide Suite 54,Anaheim,California,Orange County,92867,33.74368076730002,-117.89397260286849,557927.9,5270.05
5c97173e-ff8d-4113-98c0-a7b19f9ac540,1955-12-06,,999-50-4411,S99953561,X36781217X,Mrs.,Berta524,Blanco851,,Ferrer164,M,asian,hispanic,F,Carolina  Puerto Rico  PR,687 Thompson Fort,San Francisco,California,San Francisco County,94131,37.736544558251545,-122.39822508737284,204757.42,17919.89
db43e4e8-2122-4e26-b841-5c2d8269d8ff,1956-10-02,,999-78-1759,S99982294,X40221148X,Mrs.,Dedra50,Fay398,,O'Keefe54,M,white,nonhispanic,F,Sacramento  California  US,309 Kovacek Station Unit 97,Los Angeles,California,Los Angeles County,90056,34.08064840417342,-118.29444561693025,1301962.6199999999,11587.3
238ada30-079a-44a0-9537-084af923bb60,1972-02-16,,999-63-5282,S99949040,X43936002X,Mr.,Blair400,Hills818,,,M,asian,nonhispanic,M,Cypress  California  US,976 Flatley Viaduct Unit 72,La Mesa,California,San Diego County,91942,32.80730413591693,-117.03679610879759,11044.65,0.0
763e1a5e-d38f-44d6-9bf3-67fa2326732d,2010-11-14,,999-21-7834,,,,Benito209,Melgar516,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,757 Cormier Route,Merced,California,Merced County,95348,37.31872595789545,-120.44172097780235,232297.21,2787.0
