Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
fd29f5cd-2f79-375d-b5ca-e458ba4f7b2b,26c2d7bd-78ee-30d5-b5b7-f64188efcee3,María del Carmen27 Almonte426,F,GENERAL PRACTICE,27200 CALAROGA AVE,HAYWARD,CA,94545,37.628139,-122.106341,1063775
7cbba311-4874-3cad-b7a0-3bfe2ad9b0e1,20338d05-752e-3601-9bfb-4c37df74145c,Jess275 Ernser583,M,GENERAL PRACTICE,2700 DOLBEER ST,EUREKA,CA,95501,40.793304,-124.15535,388552
af5914ac-5900-39e0-ba58-f7420ac66fa6,5f0980a6-cff6-3a46-9566-9cecf6d241e7,Anita473 Cotto891,F,GENERAL PRACTICE,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,37.589952,-122.363342,609144
649986c2-7c08-3c3d-86d2-79ed1f6a3ae5,aa7ee58b-89d9-3dd0-80d4-6defdf3e5d2c,Albert312 Wisoky380,M,GENERAL PRACTICE,601 DUBOCE AVE,SAN FRANCISCO,CA,94117,37.727239,-123.032229,36244
e27594e1-9039-3547-97b5-3116a574f24b,74e3d5ba-9869-36de-bb5a-743031759c40,Cleo27 Balistreri607,M,GENERAL PRACTICE,1000 TRANCAS ST,NAPA,CA,94558,38.297872,-122.300741,711811
e8d1cf12-2cf1-30b7-b65b-eb6300877b56,6bed751d-772e-3fb2-9265-be9eb22ea12f,Sydney660 Von197,F,GENERAL PRACTICE,10 WOODLAND ROAD,SAINT HELENA,CA,94574,38.036605,-122.253956,649384
3b02690a-b009-3a02-96f2-7d571526f5bf,b8b56fe9-8046-35c0-bdb6-da533f1c331f,Santos184 O'Keefe54,M,GENERAL PRACTICE,200 MISSION BLVD,JACKSON,CA,95642,38.348454,-120.772366,139821
65b348c3-d10b-3fcb-95a3-07477a11d62f,038f17af-c488-31d7-a09d-f908b3680d30,Frederic454 Strosin214,M,GENERAL PRACTICE,4001 J ST,SACRAMENTO,CA,95819,38.566592,-121.468632,435358
b9275880-9b9d-31e3-bacd-3522046a7e28,17539c3a-6494-36c4-a39f-c2d0f0052547,Bernice532 Rau926,F,GENERAL PRACTICE,531 W COLLEGE ST,LOS ANGELES,CA,90012,34.019394,-118.410825,68464
35f35f9b-eb7f-30d4-a023-5b080e4d156c,63bdf216-7306-3f5c-abf1-ff21a53bad30,Jeremiah751 Murphy561,M,GENERAL PRACTICE,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,33.938143,-117.393168,742663
16208c08-b14f-3783-b67d-2086361c59b9,8da4b26f-9f34-3540-bb61-345286bc82f3,Lester513 Hartmann983,M,GENERAL PRACTICE,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,32.665862,-117.097361,1631989
d232a507-7f0d-3325-9c8c-a8e74fef85f5,23e9ce6e-0c86-3292-957b-8e33bfcaebd9,Marybeth994 Larson43,F,GENERAL PRACTICE,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,32.8153,-117.134993,488033
bf9b63e6-d3fd-373d-9ea1-3506c7fe7857,589502e3-db49-31f2-a69e-b1d5813a447e,Juan Carlos348 Calvillo618,M,GENERAL PRACTICE,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,32.769495,-117.021923,2681765
ae82e313-d6e9-3c1f-ab1e-8c08e808825b,8af06194-f642-360c-9065-339983ea5080,Pearle865 Boehm581,F,GENERAL PRACTICE,3800 JANES RD,ARCATA,CA,95521,40.735612,-123.865671,27504
ae85fdc7-43b6-3510-95da-e4eca2907b5d,1959ed2b-125f-3367-b17f-35c0a9fb1d3c,Leonard963 Bayer639,M,GENERAL PRACTICE,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,39.50301500000001,-121.566473,244062
f76e65bb-dd8a-3da0-b0ab-787458dc3056,b231243c-673a-3e12-a767-f97cee784620,Dante562 O'Connell601,M,GENERAL PRACTICE,420 34TH ST,BAKERSFIELD,CA,93301,35.321213,-119.018291,317089
299ff9b8-4b48-32a5-841c-69d2c05fff92,ffc11f4f-6a10-3f93-a3a0-23e03efffc52,Reed154 Gerhold939,M,GENERAL PRACTICE,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,37.296867,-121.819306,786846
811c4a38-191a-3fc4-a770-ded3cba4e1fe,0ec62ab3-0f56-3610-bec9-173dff179f60,Veronique514 Mertz280,F,GENERAL PRACTICE,1531 ESPLANADE,CHICO,CA,95926,39.769492,-121.92933700000002,708213
a4b4d99b-0a69-3432-93b5-eef39067bac7,bf72fa6b-ee6e-3596-a88c-ae9ce9a29573,Marcos263 Hernandes724,M,GENERAL PRACTICE,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,34.019394,-118.410825,77377
d3a3f6e0-8e8b-371d-a5c3-505b4104d79a,723905f8-9ef5-37d0-898b-5fde6e93d01e,Cristina921 Sisneros410,F,GENERAL PRACTICE,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,40.205827,-122.266358,172216
de364d53-1618-3b96-96b5-a3d8be4d1e3b,122c560f-93b9-3a1d-8b3f-209b8019dad3,Jerilyn993 Zemlak964,F,GENERAL PRACTICE,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,37.769857,-122.22563999999998,443337
dd0087eb-7517-3107-87b1-5aad9695b4cf,c52a0499-1d87-3c18-a5a6-325b11142490,Stefan297 Dicki44,M,GENERAL PRACTICE,1415 ROSS AVENUE,EL CENTRO,CA,92243,32.777768,-115.599103,650323
7bfae39d-3076-3c8a-94a3-bd5a2becaa74,821de1b3-51cf-3ec8-9509-bdd42844bdbf,Booker670 Grant908,M,GENERAL PRACTICE,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,37.727239,-123.032229,33279
591fcd73-a760-35f2-9c5e-20653a1ff192,1182c949-0146-3848-8b64-1e0697ad0718,Kacey193 Grant908,F,GENERAL PRACTICE,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,33.946032,-116.899241,534206
d258082d-486f-36a5-aeb6-da83a55152b2,7710ba7d-ad9b-3602-b671-118056e2558f,Clemente531 Morar593,M,GENERAL PRACTICE,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,37.727239,-123.032229,33973
1c772ac3-1ff3-3d19-82a4-b3a55f5e820c,759eaa37-0326-3b1f-ad0a-65dcde59f1fe,Kassandra256 Grant908,F,GENERAL PRACTICE,1600 W AVE J,LANCASTER,CA,93534,34.693558,-118.175305,374188
342368e8-6898-3ddf-af57-c665968ef951,8a6912c8-1f4d-31f9-b2e9-f219fcd0eeb8,Kristopher775 Goodwin327,M,GENERAL PRACTICE,400 W MINERAL KING AVE,VISALIA,CA,93291,36.327154,-119.323409,923379
20915895-8807-369b-917b-21deeb9b2124,90d24d77-5b76-333c-ae6b-232031d08d25,Victoria535 Razo972,F,GENERAL PRACTICE,1420 S CENTRAL AVE,GLENDALE,CA,91204,34.181393,-118.24583,960943
fc37dca6-822b-3d1a-8c84-b391b5d0d4e1,89abc445-28cd-3e4d-ba3e-1501c37b9403,Carrol931 Hauck852,M,GENERAL PRACTICE,2823 FRESNO STREET,FRESNO,CA,93721,36.780489,-119.762274,1127865
580336f7-0abe-3f6b-b467-f3b38071f84e,4174ff62-c8a8-3dd1-bbbe-4e443f8545f4,Donnie175 Russel238,M,GENERAL PRACTICE,1300 N VERMONT AVE,LOS ANGELES,CA,90027,34.019394,-118.410825,78750
f1a4e627-b41b-3042-870e-4e8e7864954e,286ecfa3-7672-3ae1-ac2c-ac5890948c94,Gilma310 Reilly981,F,GENERAL PRACTICE,350 S OAK AVE,OAKDALE,CA,95361,37.851753,-120.789257,252581
9b441c4c-93a2-31ab-b87b-f7cea3c895f5,7580a92b-c291-3578-90dd-b741672e4db8,Orval846 Moore224,M,GENERAL PRACTICE,1100 WEST STEWART DR,ORANGE,CA,92868,33.804843,-117.824876,380292
14b770d2-f0a0-333b-b7c2-953af60a2a15,b8ade049-b9fb-3bee-bc97-bb889b1d29d5,Rodrigo242 Breitenberg711,M,GENERAL PRACTICE,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,37.645601,-122.411548,390352
dc2b204b-a17e-35ef-b495-5f4331394bf4,68f85ffc-732f-3b0d-8fea-fa3feff716a2,Fausto876 Cruickshank494,M,GENERAL PRACTICE,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,37.364613,-121.967934,4180117
a616136e-be9d-31f7-b2cc-e1b79688848f,569679a4-a8d9-39cf-8f93-35653d50dfed,Adán600 Arreola736,M,GENERAL PRACTICE,1425 S MAIN STREET,WALNUT CREEK,CA,94596,37.902666,-122.040479,553082
6daf9692-aee8-364c-8775-9abb2e60613b,674011ec-2127-398d-bcb7-8539a529f5e3,Gita759 Kozey370,F,GENERAL PRACTICE,975 SERENO DR,VALLEJO,CA,94589,38.107911,-122.26388,481585
b1dbcce2-1e50-3b71-a754-a99f41c74a7c,cf56111b-6a69-3cee-810d-a27c127ff9a6,Hans694 Kuvalis369,M,GENERAL PRACTICE,275 W MACARTHUR BOULEVARD,OAKLAND,CA,94611,37.769857,-122.22563999999998,419346
807bca42-b09d-3a7d-93ef-6d2275df4103,6a072d2e-9b4e-3246-981b-fb45a5c676d5,Madelene819 Waelchi213,F,GENERAL PRACTICE,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,37.655104,-122.376234,259786
3caecdab-b383-3b07-8049-21e92305dd4d,0efdad2c-d286-3d0b-84eb-fbf6159a436c,Lindsey52 Blanda868,M,GENERAL PRACTICE,4077 5TH AVE,SAN DIEGO,CA,92103,32.8153,-117.134993,485684
31202118-c1f4-3883-9b45-2a912bf3fc14,e83df7a6-d791-3c80-9daf-084c8857c4d1,Adriana394 Peres371,F,GENERAL PRACTICE,1300 W 7TH ST,SAN PEDRO,CA,90732,33.898883000000005,-118.166629,1016624
f2255fda-ad57-30c2-8ca6-9a3f2e54c1c5,00703cc0-88b5-3f02-b225-1b29aafa3aaf,Elfrieda676 Hintz995,F,GENERAL PRACTICE,1600 N ROSE AVE,OXNARD,CA,93030,34.202346,-119.204603,1319778
c291e262-7b26-308a-87f6-3dcd89b653a9,3b70a87e-a8e2-3a2d-8b5c-0f764cc380fc,Harold594 Hessel84,M,GENERAL PRACTICE,1800 N CALIFORNIA ST,STOCKTON,CA,95204,37.976342,-121.313304,714378
c74e4b45-0a61-30f8-aa96-8b3bccfe832c,0083c7ca-47d3-3887-8d08-f9050143fa87,Leeann571 Lockman863,F,GENERAL PRACTICE,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,CA,92411,34.139261,-117.295317,499830
f08329ae-47c2-3103-aff0-e7c7735a5fb8,566a09bc-972c-3b06-9315-eb70fc96cd68,Deshawn686 Hilll811,M,GENERAL PRACTICE,347 ANDRIEUX ST,SONOMA,CA,95476,38.290337,-122.459838,105315
4929d72d-b351-3b81-8950-863e9e17e0d0,9ba59bf7-ef7d-3280-b199-2a01f9cceaef,Doria135 Yundt842,F,GENERAL PRACTICE,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,33.97803,-118.217141,4491753
e9c781ec-1358-3f9e-8758-0b71329d6da6,7e32d373-72e2-3b28-abf5-663621aca068,Cecily421 Kessler503,F,GENERAL PRACTICE,1303 E HERNDON AVE,FRESNO,CA,93710,36.782674,-119.794492,548769
16750149-cf1b-3454-9308-88cf127780b9,1e3266c7-7ddc-3049-9982-193fdcf434d1,Forrest301 Flatley871,M,GENERAL PRACTICE,725 S ORANGE AVE,WEST COVINA,CA,91790,34.055941,-117.909937,763558
421f9986-59a6-3d15-81a1-dbbf034c393b,fb4b4d16-4805-3c8c-9ce2-bf4bc5cc8fb6,Alejandro916 Ondricka197,M,GENERAL PRACTICE,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,34.117446,-117.659918,1452083
9520b150-3346-3d50-9a3e-d9234eae4f75,394909b3-1558-3747-918c-80d697947d33,Harlan808 Schulist381,M,GENERAL PRACTICE,7901 FROST ST,SAN DIEGO,CA,92123,32.8153,-117.134993,496928
60b74ad3-0b5b-35e1-9482-07eae071baac,25851727-95bd-30c0-af1c-541451d9ebdc,Mikel238 Sipes176,M,GENERAL PRACTICE,300 HOSPITAL DR,VALLEJO,CA,94589,38.107911,-122.26388,504000
76983f84-8e9e-30e7-b022-be372113d4fa,1604b5f0-04b7-339e-a626-556618e09841,Hyun970 Kunde533,F,GENERAL PRACTICE,3865 JACKSON STREET,RIVERSIDE,CA,92503,33.938143,-117.393168,723303
f41fd24c-951a-31f1-9b40-7b52877a4dc1,dd0cd1f6-1eff-3811-b2f6-6ce66252eeae,Irwin931 Frami345,M,GENERAL PRACTICE,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,34.019394,-118.410825,81629
83af83de-88db-3292-8140-2de599ce59b7,76e2cc5a-7d44-319c-b621-d8e8180bafb4,Alberto639 Pacheco179,M,GENERAL PRACTICE,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,33.923962,-118.201647,1608106
d6cb4066-83d2-3afb-9c19-64e1fdf6876a,69fe3e45-c423-317a-abce-b3ed719b18eb,Lourdes258 Agosto501,F,GENERAL PRACTICE,1400 E CHURCH ST,SANTA MARIA,CA,93454,34.933214,-120.443815,717273
89937a66-dc91-37aa-88de-abba0d6d7384,46dd198f-8c0d-3ee6-a25a-3d8ac22f1fe8,Dean966 Von197,M,GENERAL PRACTICE,2825 CAPITOL AVENUE,SACRAMENTO,CA,95816,38.566592,-121.468632,531340
117d4bf3-e526-3600-8fee-3eabe1ac6c8b,90488973-8484-334c-8e9d-79176835a2a1,Mark765 Jerde200,M,GENERAL PRACTICE,1515 E OCEAN AVENUE,LOMPOC,CA,93436,34.662689,-120.47083700000002,159547
3f6a84e0-446d-3506-848c-f8e05bb0d6e0,97366f6d-eaae-37fd-9f3c-83fd3e783050,Isabel214 Rivero165,F,GENERAL PRACTICE,1250 16TH STREET,SANTA MONICA,CA,90404,34.023413,-118.481666,1605683
6943ea4e-1dbe-35e9-97de-9b4a78b15780,1fbdca41-e844-3beb-8cac-74270bfb3b4e,Shakita329 Hirthe744,F,GENERAL PRACTICE,222 W 39TH AVE,SAN MATEO,CA,94403,37.56031,-122.3106,1095763
da2869f8-6d3a-3d1b-8f5d-37d316ac55a7,9211e484-c327-3064-a295-8f3f6c78f841,Michael441 D'Amore443,M,GENERAL PRACTICE,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,33.133648,-117.073223,385297
