ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
71949668-1c2e-43ae-ab0a-64654608defb,1988-05-28,,999-60-7250,S99965240,X22244130X,Mrs.,Elly802,Koss811,,Upton199,M,white,irish,F,Lexington MA US,609 Lizeth Streets Bolton MA 01740 US
c2caaace-9119-4b2d-a2c3-4040f5a9cf32,1936-09-22,1987-11-06,999-25-1103,S99982785,X64352363X,Mr.,Kim254,Barrows624,,,S,asian,chinese,M,Worcester MA US,646 McCullough Points Suite 161 Attleboro MA 02703 US
96b24072-e1fe-49cd-a22a-6dfb92c3994c,1939-08-09,,999-31-1262,S99997863,X20513467X,Ms.,Jacquelyn868,Shanahan20,,,S,white,irish,F,Bellingham MA US,365 Della Crossroad Suite 202 Deerfield MA 01342 US
de43eb48-496c-46d4-8c5b-be6125a38c15,1931-09-04,1981-10-09,999-32-6726,S99920382,false,Mr.,Nicholas299,Lind290,,,S,white,portuguese,M,Arlington MA US,126 Kshlerin Ville Chicopee MA 01013 US
79266ca2-b4e3-45e5-af65-7914bd4511a0,1968-08-20,,999-92-1525,S99919354,X71872112X,Mr.,Maxwell713,Dietrich937,,,M,black,dominican,M,Springfield MA US,635 Smitham Burgs Fall River MA 02721 US
31410948-38be-4990-be5e-a47ab44f33a1,1921-11-13,2012-03-25,999-13-7228,S99945863,false,Mrs.,Margarita273,Wunsch143,,Olson246,M,hispanic,mexican,F,Boston MA US,492 Kozey Garden Apt. 713 North Reading MA 01864 US
b1943aad-500b-4b22-8da8-b4d9c667c763,1930-10-28,,999-20-5217,S99950385,false,Mr.,Travis50,West388,,,M,white,french,M,Braintree Town MA US,750 Mosciski Ferry Dedham MA 02026 US
443a0255-5584-45d9-93ca-9174f1d45f03,1933-05-12,1998-04-13,999-95-9918,S99940088,X67890958X,Mr.,Ricardo852,Bechtelar628,,,S,white,english,M,Easton MA US,7134 Schmitt Passage Suite 889 Cambridge MA 02141 US
00630ce3-e8eb-4ed4-889b-2c0ac257cbf4,2003-03-20,,999-23-2870,,,,Tyree852,Eichmann822,,,,white,polish,M,Fall River MA US,45326 Soledad Plaza Wilmington MA 01887 US
2c884d0f-62a1-4371-becc-36a98cdc4f52,1921-02-07,2016-08-22,999-48-6738,S99951685,false,Mrs.,Tammara310,Stamm923,,Goodwin128,M,white,english,F,Lynn MA US,4716 Moen Stream Worcester MA 01604 US
b545c170-d612-420b-8540-23b6ceaf904d,2002-09-26,,999-21-4962,,,,Nery946,Dibbert950,,,,white,polish,F,Brookline MA US,7612 Schaden Expressway Apt. 390 Lynn MA 01903 US
16077486-5747-4abe-8321-ba290fb7197c,1953-12-28,1998-08-21,999-76-2157,S99922759,X69154173X,Ms.,Ellena352,Monahan577,,,S,white,english,F,Seekonk MA US,77237 Bernadette Turnpike Boston MA 02118 US
0853f544-fdef-4464-8745-239cccfe94b2,1994-05-18,,999-38-5733,S99998274,false,Ms.,Lavelle673,Vandervort974,,,,asian,asian_indian,F,Reading MA US,812 Lila Track Apt. 793 Barre MA 01005 US
6a569777-9dec-4269-93e7-fefbcf21507f,1948-04-01,2004-10-21,999-90-3103,S99921862,false,Mr.,Carroll566,Bernhard793,,,M,white,italian,M,Chicopee MA US,875 Beulah Circles Apt. 780 Brookline MA 02447 US
38364c57-80ce-4749-aed6-878cdff95379,2013-03-28,,999-63-8085,,,,Val976,McDermott170,,,,black,west_indian,M,Barnstable Town MA US,47502 Janice Terrace Clinton MA 01510 US
